Population Year	 Area	 Variable	 Data
2011	Broomfield	Total Households	21959
2011	Broomfield	Total Housing Units	22878
2011	Broomfield	Vacant Housing Units	919
2011	Chaffee	Average Household Size	2.15
2011	Chaffee	Births	147
2011	Chaffee	Deaths	157
2011	Chaffee	Group Quarters Population (July)	1492
2011	Chaffee	Household Population (July)	16474
2011	Chaffee	Housing Vacancy Rate	24.19
2011	Chaffee	July Population	17966
2011	Chaffee	Natural Population Increase	-10
2011	Chaffee	Net Building Permits	50
2011	Chaffee	Net Migration	179
2011	Chaffee	Population (U.S. Census Bureau)	17932
2011	Chaffee	Total Households	7647
2011	Chaffee	Total Housing Units	10087
2011	Chaffee	Vacant Housing Units	2440
2011	Cheyenne	Average Household Size	2.28
2011	Cheyenne	Births	21
2011	Cheyenne	Deaths	21
2011	Cheyenne	Group Quarters Population (July)	42
2011	Cheyenne	Household Population (July)	1830
2011	Cheyenne	Housing Vacancy Rate	17.83
2011	Cheyenne	July Population	1872
2011	Cheyenne	Natural Population Increase	0
2011	Cheyenne	Net Building Permits	-18
2011	Cheyenne	Net Migration	38
2011	Cheyenne	Population (U.S. Census Bureau)	1876
2011	Cheyenne	Total Households	802
2011	Cheyenne	Total Housing Units	976
2011	Cheyenne	Vacant Housing Units	174
2011	Clear Creek	Average Household Size	2.14
2011	Clear Creek	Births	70
2011	Clear Creek	Deaths	58
2011	Clear Creek	Group Quarters Population (July)	43
2011	Clear Creek	Household Population (July)	8922
2011	Clear Creek	Housing Vacancy Rate	26.87
2011	Clear Creek	July Population	8965
2011	Clear Creek	Natural Population Increase	12
2011	Clear Creek	Net Building Permits	20
2011	Clear Creek	Net Migration	-155
2011	Clear Creek	Population (U.S. Census Bureau)	9012
2011	Clear Creek	Total Households	4169
2011	Clear Creek	Total Housing Units	5701
2011	Clear Creek	Vacant Housing Units	1532
2011	Conejos	Average Household Size	2.64
2011	Conejos	Births	104
2011	Conejos	Deaths	88
2011	Conejos	Group Quarters Population (July)	36
2011	Conejos	Household Population (July)	8215
2011	Conejos	Housing Vacancy Rate	27.68
2011	Conejos	July Population	8251
2011	Conejos	Natural Population Increase	16
2011	Conejos	Net Building Permits	-2
2011	Conejos	Net Migration	-47
2011	Conejos	Population (U.S. Census Bureau)	8291
2011	Conejos	Total Households	3115
2011	Conejos	Total Housing Units	4307
2011	Conejos	Vacant Housing Units	1192
2011	Costilla	Average Household Size	2.27
2011	Costilla	Births	37
2011	Costilla	Deaths	32
2011	Costilla	Group Quarters Population (July)	0
2011	Costilla	Household Population (July)	3661
2011	Costilla	Housing Vacancy Rate	39.97
2011	Costilla	July Population	3661
2011	Costilla	Natural Population Increase	5
2011	Costilla	Net Building Permits	56
2011	Costilla	Net Migration	124
2011	Costilla	Population (U.S. Census Bureau)	3662
2011	Costilla	Total Households	1610
2011	Costilla	Total Housing Units	2682
2011	Costilla	Vacant Housing Units	1072
2011	Crowley	Average Household Size	2.41
2011	Crowley	Births	34
2011	Crowley	Deaths	36
2011	Crowley	Group Quarters Population (July)	2638
2011	Crowley	Household Population (July)	3163
2011	Crowley	Housing Vacancy Rate	15.93
2011	Crowley	July Population	5801
2011	Crowley	Natural Population Increase	-2
2011	Crowley	Net Building Permits	-6
2011	Crowley	Net Migration	-35
2011	Crowley	Population (U.S. Census Bureau)	5736
2011	Crowley	Total Households	1314
2011	Crowley	Total Housing Units	1563
2011	Crowley	Vacant Housing Units	249
2011	Custer	Average Household Size	2.13
2011	Custer	Births	22
2011	Custer	Deaths	29
2011	Custer	Group Quarters Population (July)	150
2011	Custer	Household Population (July)	4056
2011	Custer	Housing Vacancy Rate	52.88
2011	Custer	July Population	4206
2011	Custer	Natural Population Increase	-7
2011	Custer	Net Building Permits	46
2011	Custer	Net Migration	-59
2011	Custer	Population (U.S. Census Bureau)	4205
2011	Custer	Total Households	1901
2011	Custer	Total Housing Units	4034
2011	Custer	Vacant Housing Units	2133
2011	Delta	Average Household Size	2.38
2011	Delta	Births	344
2011	Delta	Deaths	356
2011	Delta	Group Quarters Population (July)	680
2011	Delta	Household Population (July)	29732
2011	Delta	Housing Vacancy Rate	14.65
2011	Delta	July Population	30412
2011	Delta	Natural Population Increase	-12
2011	Delta	Net Building Permits	96
2011	Delta	Net Migration	-465
2011	Delta	Population (U.S. Census Bureau)	30451
2011	Delta	Total Households	12489
2011	Delta	Total Housing Units	14632
2011	Delta	Vacant Housing Units	2143
2011	Denver	Average Household Size	2.22
2011	Denver	Births	9622
2011	Denver	Deaths	4184
2011	Denver	Group Quarters Population (July)	16060
2011	Denver	Household Population (July)	604857
2011	Denver	Housing Vacancy Rate	5.37
2011	Denver	July Population	620917
2011	Denver	Natural Population Increase	5438
2011	Denver	Net Building Permits	866
2011	Denver	Net Migration	10600
2011	Denver	Population (U.S. Census Bureau)	619968
2011	Denver	Total Households	272421
2011	Denver	Total Housing Units	287891
2011	Denver	Vacant Housing Units	15470
2011	Dolores	Average Household Size	2.29
2011	Dolores	Births	18
2011	Dolores	Deaths	17
2011	Dolores	Group Quarters Population (July)	0
2011	Dolores	Household Population (July)	2042
2011	Dolores	Housing Vacancy Rate	39.95
2011	Dolores	July Population	2042
2011	Dolores	Natural Population Increase	1
2011	Dolores	Net Building Permits	16
2011	Dolores	Net Migration	-19
2011	Dolores	Population (U.S. Census Bureau)	2056
2011	Dolores	Total Households	890
2011	Dolores	Total Housing Units	1482
2011	Dolores	Vacant Housing Units	592
2011	Douglas	Average Household Size	2.79
2011	Douglas	Births	3557
2011	Douglas	Deaths	905
2011	Douglas	Group Quarters Population (July)	800
2011	Douglas	Household Population (July)	291505
2011	Douglas	Housing Vacancy Rate	3.28
2011	Douglas	July Population	292305
2011	Douglas	Natural Population Increase	2652
2011	Douglas	Net Building Permits	1188
2011	Douglas	Net Migration	2529
2011	Douglas	Population (U.S. Census Bureau)	292167
2011	Douglas	Total Households	104435
2011	Douglas	Total Housing Units	107982
2011	Douglas	Vacant Housing Units	3547
2011	Eagle	Average Household Size	2.71
2011	Eagle	Births	650
2011	Eagle	Deaths	83
2011	Eagle	Group Quarters Population (July)	70
2011	Eagle	Household Population (July)	51706
2011	Eagle	Housing Vacancy Rate	39.24
2011	Eagle	July Population	51776
2011	Eagle	Natural Population Increase	567
2011	Eagle	Net Building Permits	464
2011	Eagle	Net Migration	-848
2011	Eagle	Population (U.S. Census Bureau)	51854
2011	Eagle	Total Households	19074
2011	Eagle	Total Housing Units	31390
2011	Eagle	Vacant Housing Units	12316
2011	Elbert	Average Household Size	2.75
2011	Elbert	Births	174
2011	Elbert	Deaths	108
2011	Elbert	Group Quarters Population (July)	73
2011	Elbert	Household Population (July)	23083
2011	Elbert	Housing Vacancy Rate	6.41
2011	Elbert	July Population	23156
2011	Elbert	Natural Population Increase	66
2011	Elbert	Net Building Permits	18
2011	Elbert	Net Migration	-17
2011	Elbert	Population (U.S. Census Bureau)	23174
2011	Elbert	Total Households	8406
2011	Elbert	Total Housing Units	8982
2011	Elbert	Vacant Housing Units	576
2011	El Paso	Average Household Size	2.56
2011	El Paso	Births	9231
2011	El Paso	Deaths	3650
2011	El Paso	Group Quarters Population (July)	19125
2011	El Paso	Household Population (July)	618177
2011	El Paso	Housing Vacancy Rate	4.73
2011	El Paso	July Population	637302
2011	El Paso	Natural Population Increase	5581
2011	El Paso	Net Building Permits	1366
2011	El Paso	Net Migration	4489
2011	El Paso	Population (U.S. Census Bureau)	636963
2011	El Paso	Total Households	241834
2011	El Paso	Total Housing Units	253852
2011	El Paso	Vacant Housing Units	12018
2011	Fremont	Average Household Size	2.3
2011	Fremont	Births	379
2011	Fremont	Deaths	528
2011	Fremont	Group Quarters Population (July)	9053
2011	Fremont	Household Population (July)	38322
2011	Fremont	Housing Vacancy Rate	13.75
2011	Fremont	July Population	47375
2011	Fremont	Natural Population Increase	-149
2011	Fremont	Net Building Permits	-26
2011	Fremont	Net Migration	670
2011	Fremont	Population (U.S. Census Bureau)	47347
2011	Fremont	Total Households	16669
2011	Fremont	Total Housing Units	19327
2011	Fremont	Vacant Housing Units	2658
2011	Garfield	Average Household Size	2.73
2011	Garfield	Births	863
2011	Garfield	Deaths	294
2011	Garfield	Group Quarters Population (July)	868
2011	Garfield	Household Population (July)	55369
2011	Garfield	Housing Vacancy Rate	13.06
2011	Garfield	July Population	56237
2011	Garfield	Natural Population Increase	569
2011	Garfield	Net Building Permits	132
2011	Garfield	Net Migration	-482
2011	Garfield	Population (U.S. Census Bureau)	56270
2011	Garfield	Total Households	20309
2011	Garfield	Total Housing Units	23361
2011	Garfield	Vacant Housing Units	3052
2011	Gilpin	Average Household Size	2.19
2011	Gilpin	Births	47
2011	Gilpin	Deaths	28
2011	Gilpin	Group Quarters Population (July)	49
2011	Gilpin	Household Population (July)	5401
2011	Gilpin	Housing Vacancy Rate	30.91
2011	Gilpin	July Population	5450
2011	Gilpin	Natural Population Increase	19
2011	Gilpin	Net Building Permits	16
2011	Gilpin	Net Migration	-32
2011	Gilpin	Population (U.S. Census Bureau)	5467
2011	Gilpin	Total Households	2465
2011	Gilpin	Total Housing Units	3568
2011	Gilpin	Vacant Housing Units	1103
2011	Grand	Average Household Size	2.26
2011	Grand	Births	106
2011	Grand	Deaths	66
2011	Grand	Group Quarters Population (July)	222
2011	Grand	Household Population (July)	14278
2011	Grand	Housing Vacancy Rate	60.89
2011	Grand	July Population	14500
2011	Grand	Natural Population Increase	40
2011	Grand	Net Building Permits	158
2011	Grand	Net Migration	-330
2011	Grand	Population (U.S. Census Bureau)	14548
2011	Grand	Total Households	6318
2011	Grand	Total Housing Units	16155
2011	Grand	Vacant Housing Units	9837
2011	Gunnison	Average Household Size	2.22
2011	Gunnison	Births	152
2011	Gunnison	Deaths	58
2011	Gunnison	Group Quarters Population (July)	850
2011	Gunnison	Household Population (July)	14552
2011	Gunnison	Housing Vacancy Rate	43.02
2011	Gunnison	July Population	15402
2011	Gunnison	Natural Population Increase	94
2011	Gunnison	Net Building Permits	100
2011	Gunnison	Net Migration	-1
2011	Gunnison	Population (U.S. Census Bureau)	15408
2011	Gunnison	Total Households	6551
2011	Gunnison	Total Housing Units	11497
2011	Gunnison	Vacant Housing Units	4946
2011	Hinsdale	Average Household Size	2.17
2011	Hinsdale	Births	5
2011	Hinsdale	Deaths	7
2011	Hinsdale	Group Quarters Population (July)	56
2011	Hinsdale	Household Population (July)	765
2011	Hinsdale	Housing Vacancy Rate	74.73
2011	Hinsdale	July Population	821
2011	Hinsdale	Natural Population Increase	-2
2011	Hinsdale	Net Building Permits	0
2011	Hinsdale	Net Migration	-20
2011	Hinsdale	Population (U.S. Census Bureau)	830
2011	Hinsdale	Total Households	352
2011	Hinsdale	Total Housing Units	1393
2011	Hinsdale	Vacant Housing Units	1041
2011	Huerfano	Average Household Size	2.09
2011	Huerfano	Births	46
2011	Huerfano	Deaths	105
2011	Huerfano	Group Quarters Population (July)	165
2011	Huerfano	Household Population (July)	6309
2011	Huerfano	Housing Vacancy Rate	40.93
2011	Huerfano	July Population	6474
2011	Huerfano	Natural Population Increase	-59
2011	Huerfano	Net Building Permits	14
2011	Huerfano	Net Migration	-122
2011	Huerfano	Population (U.S. Census Bureau)	6520
2011	Huerfano	Total Households	3024
2011	Huerfano	Total Housing Units	5119
2011	Huerfano	Vacant Housing Units	2095
2011	Jackson	Average Household Size	2.14
2011	Jackson	Births	12
2011	Jackson	Deaths	10
2011	Jackson	Group Quarters Population (July)	2
2011	Jackson	Household Population (July)	1364
2011	Jackson	Housing Vacancy Rate	50.85
2011	Jackson	July Population	1366
2011	Jackson	Natural Population Increase	2
2011	Jackson	Net Building Permits	6
2011	Jackson	Net Migration	-23
2011	Jackson	Population (U.S. Census Bureau)	1370
2011	Jackson	Total Households	636
2011	Jackson	Total Housing Units	1294
2011	Jackson	Vacant Housing Units	658
2011	Jefferson	Average Household Size	2.42
2011	Jefferson	Births	5529
2011	Jefferson	Deaths	3738
2011	Jefferson	Group Quarters Population (July)	7429
2011	Jefferson	Household Population (July)	532594
2011	Jefferson	Housing Vacancy Rate	4.46
2011	Jefferson	July Population	540023
2011	Jefferson	Natural Population Increase	1791
2011	Jefferson	Net Building Permits	166
2011	Jefferson	Net Migration	2581
2011	Jefferson	Population (U.S. Census Bureau)	539884
2011	Jefferson	Total Households	220435
2011	Jefferson	Total Housing Units	230723
2011	Jefferson	Vacant Housing Units	10288
2011	Kiowa	Average Household Size	2.24
2011	Kiowa	Births	20
2011	Kiowa	Deaths	22
2011	Kiowa	Group Quarters Population (July)	14
2011	Kiowa	Household Population (July)	1419
2011	Kiowa	Housing Vacancy Rate	21.92
2011	Kiowa	July Population	1433
2011	Kiowa	Natural Population Increase	-2
2011	Kiowa	Net Building Permits	-2
2011	Kiowa	Net Migration	36
2011	Kiowa	Population (U.S. Census Bureau)	1433
2011	Kiowa	Total Households	634
2011	Kiowa	Total Housing Units	812
2011	Kiowa	Vacant Housing Units	178
2011	Kit Carson	Average Household Size	2.37
2011	Kit Carson	Births	105
2011	Kit Carson	Deaths	83
2011	Kit Carson	Group Quarters Population (July)	874
2011	Kit Carson	Household Population (July)	7276
2011	Kit Carson	Housing Vacancy Rate	12.95
2011	Kit Carson	July Population	8150
2011	Kit Carson	Natural Population Increase	22
2011	Kit Carson	Net Building Permits	-10
2011	Kit Carson	Net Migration	-139
2011	Kit Carson	Population (U.S. Census Bureau)	8142
2011	Kit Carson	Total Households	3072
2011	Kit Carson	Total Housing Units	3529
2011	Kit Carson	Vacant Housing Units	457
2011	Lake	Average Household Size	2.43
2011	Lake	Births	104
2011	Lake	Deaths	41
2011	Lake	Group Quarters Population (July)	133
2011	Lake	Household Population (July)	7263
2011	Lake	Housing Vacancy Rate	30.39
2011	Lake	July Population	7396
2011	Lake	Natural Population Increase	63
2011	Lake	Net Building Permits	-26
2011	Lake	Net Migration	51
2011	Lake	Population (U.S. Census Bureau)	7427
2011	Lake	Total Households	2987
2011	Lake	Total Housing Units	4291
2011	Lake	Vacant Housing Units	1304
2011	La Plata	Average Household Size	2.35
2011	La Plata	Births	543
2011	La Plata	Deaths	246
2011	La Plata	Group Quarters Population (July)	1713
2011	La Plata	Household Population (July)	50231
2011	La Plata	Housing Vacancy Rate	18.26
2011	La Plata	July Population	51944
2011	La Plata	Natural Population Increase	297
2011	La Plata	Net Building Permits	102
2011	La Plata	Net Migration	206
2011	La Plata	Population (U.S. Census Bureau)	51917
2011	La Plata	Total Households	21358
2011	La Plata	Total Housing Units	26130
2011	La Plata	Vacant Housing Units	4772
2011	Larimer	Average Household Size	2.42
2011	Larimer	Births	3313
2011	Larimer	Deaths	1861
2011	Larimer	Group Quarters Population (July)	8541
2011	Larimer	Household Population (July)	296768
2011	Larimer	Housing Vacancy Rate	8.2
2011	Larimer	July Population	305309
2011	Larimer	Natural Population Increase	1452
2011	Larimer	Net Building Permits	420
2011	Larimer	Net Migration	3325
2011	Larimer	Population (U.S. Census Bureau)	305525
2011	Larimer	Total Households	122620
2011	Larimer	Total Housing Units	133572
2011	Larimer	Vacant Housing Units	10952
2011	Las Animas	Average Household Size	2.29
2011	Las Animas	Births	149
2011	Las Animas	Deaths	196
2011	Las Animas	Group Quarters Population (July)	861
2011	Las Animas	Household Population (July)	14130
2011	Las Animas	Housing Vacancy Rate	25.23
2011	Las Animas	July Population	14991
2011	Las Animas	Natural Population Increase	-47
2011	Las Animas	Net Building Permits	2
2011	Las Animas	Net Migration	-369
2011	Las Animas	Population (U.S. Census Bureau)	15037
2011	Las Animas	Total Households	6158
2011	Las Animas	Total Housing Units	8236
2011	Las Animas	Vacant Housing Units	2078
2011	Lincoln	Average Household Size	2.28
2011	Lincoln	Births	64
2011	Lincoln	Deaths	52
2011	Lincoln	Group Quarters Population (July)	979
2011	Lincoln	Household Population (July)	4420
2011	Lincoln	Housing Vacancy Rate	19.85
2011	Lincoln	July Population	5399
2011	Lincoln	Natural Population Increase	12
2011	Lincoln	Net Building Permits	-6
2011	Lincoln	Net Migration	-87
2011	Lincoln	Population (U.S. Census Bureau)	5454
2011	Lincoln	Total Households	1942
2011	Lincoln	Total Housing Units	2423
2011	Lincoln	Vacant Housing Units	481
2011	Logan	Average Household Size	2.34
2011	Logan	Births	212
2011	Logan	Deaths	182
2011	Logan	Group Quarters Population (July)	3461
2011	Logan	Household Population (July)	18732
2011	Logan	Housing Vacancy Rate	10.9
2011	Logan	July Population	22193
2011	Logan	Natural Population Increase	30
2011	Logan	Net Building Permits	12
2011	Logan	Net Migration	-130
2011	Logan	Population (U.S. Census Bureau)	22619
2011	Logan	Total Households	8015
2011	Logan	Total Housing Units	8996
2011	Logan	Vacant Housing Units	981
2011	Mesa	Average Household Size	2.46
2011	Mesa	Births	1908
2011	Mesa	Deaths	1296
2011	Mesa	Group Quarters Population (July)	4330
2011	Mesa	Household Population (July)	143423
2011	Mesa	Housing Vacancy Rate	7.86
2011	Mesa	July Population	147753
2011	Mesa	Natural Population Increase	612
2011	Mesa	Net Building Permits	446
2011	Mesa	Net Migration	554
2011	Mesa	Population (U.S. Census Bureau)	147083
2011	Mesa	Total Households	58268
2011	Mesa	Total Housing Units	63239
2011	Mesa	Vacant Housing Units	4971
2011	Mineral	Average Household Size	2
2011	Mineral	Births	5
2011	Mineral	Deaths	3
2011	Mineral	Group Quarters Population (July)	0
2011	Mineral	Household Population (July)	709
2011	Mineral	Housing Vacancy Rate	70.67
2011	Mineral	July Population	709
2011	Mineral	Natural Population Increase	2
2011	Mineral	Net Building Permits	-6
2011	Mineral	Net Migration	2
2011	Mineral	Population (U.S. Census Bureau)	708
2011	Mineral	Total Households	354
2011	Mineral	Total Housing Units	1207
2011	Mineral	Vacant Housing Units	853
2011	Moffat	Average Household Size	2.51
2011	Moffat	Births	187
2011	Moffat	Deaths	67
2011	Moffat	Group Quarters Population (July)	102
2011	Moffat	Household Population (July)	13332
2011	Moffat	Housing Vacancy Rate	14.3
2011	Moffat	July Population	13434
2011	Moffat	Natural Population Increase	120
2011	Moffat	Net Building Permits	10
2011	Moffat	Net Migration	-492
2011	Moffat	Population (U.S. Census Bureau)	13451
2011	Moffat	Total Households	5321
2011	Moffat	Total Housing Units	6209
2011	Moffat	Vacant Housing Units	888
2011	Montezuma	Average Household Size	2.4
2011	Montezuma	Births	308
2011	Montezuma	Deaths	288
2011	Montezuma	Group Quarters Population (July)	237
2011	Montezuma	Household Population (July)	25176
2011	Montezuma	Housing Vacancy Rate	13.65
2011	Montezuma	July Population	25413
2011	Montezuma	Natural Population Increase	20
2011	Montezuma	Net Building Permits	70
2011	Montezuma	Net Migration	-139
2011	Montezuma	Population (U.S. Census Bureau)	25442
2011	Montezuma	Total Households	10490
2011	Montezuma	Total Housing Units	12148
2011	Montezuma	Vacant Housing Units	1658
2011	Montrose	Average Household Size	2.47
2011	Montrose	Births	492
2011	Montrose	Deaths	399
2011	Montrose	Group Quarters Population (July)	542
2011	Montrose	Household Population (July)	40483
2011	Montrose	Housing Vacancy Rate	10.7
2011	Montrose	July Population	41025
2011	Montrose	Natural Population Increase	93
2011	Montrose	Net Building Permits	106
2011	Montrose	Net Migration	-256
2011	Montrose	Population (U.S. Census Bureau)	41011
2011	Montrose	Total Households	16383
2011	Montrose	Total Housing Units	18346
2011	Montrose	Vacant Housing Units	1963
2011	Morgan	Average Household Size	2.68
2011	Morgan	Births	460
2011	Morgan	Deaths	277
2011	Morgan	Group Quarters Population (July)	564
2011	Morgan	Household Population (July)	27774
2011	Morgan	Housing Vacancy Rate	10.05
2011	Morgan	July Population	28338
2011	Morgan	Natural Population Increase	183
2011	Morgan	Net Building Permits	10
2011	Morgan	Net Migration	-41
2011	Morgan	Population (U.S. Census Bureau)	28175
2011	Morgan	Total Households	10360
2011	Morgan	Total Housing Units	11517
2011	Morgan	Vacant Housing Units	1157
2011	Otero	Average Household Size	2.38
2011	Otero	Births	245
2011	Otero	Deaths	216
2011	Otero	Group Quarters Population (July)	433
2011	Otero	Household Population (July)	18433
2011	Otero	Housing Vacancy Rate	13.71
2011	Otero	July Population	18866
2011	Otero	Natural Population Increase	29
2011	Otero	Net Building Permits	-16
2011	Otero	Net Migration	-1
2011	Otero	Population (U.S. Census Bureau)	18865
2011	Otero	Total Households	7743
2011	Otero	Total Housing Units	8973
2011	Otero	Vacant Housing Units	1230
2011	Ouray	Average Household Size	2.19
2011	Ouray	Births	29
2011	Ouray	Deaths	19
2011	Ouray	Group Quarters Population (July)	0
2011	Ouray	Household Population (July)	4355
2011	Ouray	Housing Vacancy Rate	36.1
2011	Ouray	July Population	4355
2011	Ouray	Natural Population Increase	10
2011	Ouray	Net Building Permits	40
2011	Ouray	Net Migration	-101
2011	Ouray	Population (U.S. Census Bureau)	4356
2011	Ouray	Total Households	1986
2011	Ouray	Total Housing Units	3108
2011	Ouray	Vacant Housing Units	1122
2011	Park	Average Household Size	2.25
2011	Park	Births	117
2011	Park	Deaths	83
2011	Park	Group Quarters Population (July)	92
2011	Park	Household Population (July)	15987
2011	Park	Housing Vacancy Rate	49.42
2011	Park	July Population	16079
2011	Park	Natural Population Increase	34
2011	Park	Net Building Permits	130
2011	Park	Net Migration	-217
2011	Park	Population (U.S. Census Bureau)	16089
2011	Park	Total Households	7117
2011	Park	Total Housing Units	14072
2011	Park	Vacant Housing Units	6955
2011	Phillips	Average Household Size	2.41
2011	Phillips	Births	51
2011	Phillips	Deaths	61
2011	Phillips	Group Quarters Population (July)	60
2011	Phillips	Household Population (July)	4327
2011	Phillips	Housing Vacancy Rate	14.1
2011	Phillips	July Population	4387
2011	Phillips	Natural Population Increase	-10
2011	Phillips	Net Building Permits	2
2011	Phillips	Net Migration	-68
2011	Phillips	Population (U.S. Census Bureau)	4399
2011	Phillips	Total Households	1797
2011	Phillips	Total Housing Units	2092
2011	Phillips	Vacant Housing Units	295
2011	Pitkin	Average Household Size	2.1
2011	Pitkin	Births	175
2011	Pitkin	Deaths	53
2011	Pitkin	Group Quarters Population (July)	72
2011	Pitkin	Household Population (July)	17022
2011	Pitkin	Housing Vacancy Rate	37.56
2011	Pitkin	July Population	17094
2011	Pitkin	Natural Population Increase	122
2011	Pitkin	Net Building Permits	158
2011	Pitkin	Net Migration	-184
2011	Pitkin	Population (U.S. Census Bureau)	17102
2011	Pitkin	Total Households	8123
2011	Pitkin	Total Housing Units	13010
2011	Pitkin	Vacant Housing Units	4887
2011	Prowers	Average Household Size	2.48
2011	Prowers	Births	142
2011	Prowers	Deaths	149
2011	Prowers	Group Quarters Population (July)	315
2011	Prowers	Household Population (July)	12188
2011	Prowers	Housing Vacancy Rate	17.32
2011	Prowers	July Population	12503
2011	Prowers	Natural Population Increase	-7
2011	Prowers	Net Building Permits	-30
2011	Prowers	Net Migration	-21
2011	Prowers	Population (U.S. Census Bureau)	12549
2011	Prowers	Total Households	4916
2011	Prowers	Total Housing Units	5946
2011	Prowers	Vacant Housing Units	1030
2011	Pueblo	Average Household Size	2.46
2011	Pueblo	Births	1865
2011	Pueblo	Deaths	1651
2011	Pueblo	Group Quarters Population (July)	4327
2011	Pueblo	Household Population (July)	156066
2011	Pueblo	Housing Vacancy Rate	9.2
2011	Pueblo	July Population	160393
2011	Pueblo	Natural Population Increase	214
2011	Pueblo	Net Building Permits	352
2011	Pueblo	Net Migration	683
2011	Pueblo	Population (U.S. Census Bureau)	160545
2011	Pueblo	Total Households	63502
2011	Pueblo	Total Housing Units	69933
2011	Pueblo	Vacant Housing Units	6431
2011	Rio Blanco	Average Household Size	2.43
2011	Rio Blanco	Births	106
2011	Rio Blanco	Deaths	40
2011	Rio Blanco	Group Quarters Population (July)	235
